Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Real_value,Conference,Weight
23,"Jan 13, 2008",2003,6-11,Chris Bosh,PF,2007-2008,2008,4,Toronto Raptors,0.5,East,235
29,"Jan 13, 2008",1996,6-6,Kobe Bryant,SG,2007-2008,2008,11,Los Angeles Lakers,0.5,West,212
26,"Jan 13, 2002",1996,6-5,Ray Allen,SG,2001-2002,2002,5,Milwaukee Bucks,0.5,East,205
25,"Jan 13, 2002",1995,6-11,Kevin Garnett,PF,2001-2002,2002,6,Minnesota Timberwolves,0.5,West,240
34,"Jan 13, 1991",1977,6-7,Bernard King,SF,1990-1991,1991,13,Washington Bullets,1,NA,205
31,"Jan 13, 1985",1975,6-2,World B. Free,G,1984-1985,1985,9,Cleveland Cavaliers,1,NA,185
24,"Jan 12, 2015",2011,6-1,Kemba Walker,G,2014-2015,2015,3,Charlotte Hornets,0.5,East,184
25,"Jan 12, 2015",2011,6-7,Klay Thompson,G,2014-2015,2015,3,Golden State Warriors,0.5,West,215
23,"Jan 12, 2009",2004,6-11,Dwight Howard,C,2008-2009,2009,4,Orlando Magic,0.5,East,265
30,"Jan 12, 2009",1996,6-6,Kobe Bryant,SG,2008-2009,2009,12,Los Angeles Lakers,0.5,West,212
24,"Jan 12, 2003",1996,6-11,Jermaine O'Neal,FC,2002-2003,2003,6,Indiana Pacers,0.5,East,235
24,"Jan 12, 2003",1996,6-6,Kobe Bryant,SG,2002-2003,2003,6,Los Angeles Lakers,0.5,West,212
26,"Jan 12, 2003",1996,6-2,Stephon Marbury,G,2002-2003,2003,6,Phoenix Suns,0.5,West,180
24,"Jan 12, 1997",1994,6-7,Glenn Robinson,SF,1996-1997,1997,2,Milwaukee Bucks,1,NA,225
29,"Jan 12, 1992",1984,6-6,Michael Jordan,SG,1991-1992,1992,7,Chicago Bulls,1,NA,215
29,"Jan 12, 1986",1979,6-6,Calvin Natt,F,1985-1986,1986,6,Denver Nuggets,1,NA,220
31,"Jan 11, 2016",2003,6-8,LeBron James,F,2015-2016,2016,12,Cleveland Cavaliers,0.5,East,250
30,"Jan 11, 2016",2005,6-0,Chris Paul,PG,2015-2016,2016,10,Los Angeles Clippers,0.5,West,175
30,"Jan 11, 2016",2005,6-0,Chris Paul,PG,2015-2016,2016,10,Los Angeles Clippers,0.5,West,175
25,"Jan 11, 2010",2003,6-8,LeBron James,F,2009-2010,2010,6,Cleveland Cavaliers,0.5,East,250
27,"Jan 11, 2010",2003,7-0,Chris Kaman,C,2009-2010,2010,6,Los Angeles Clippers,0.5,East,265
27,"Jan 11, 2010",2003,7-0,Chris Kaman,C,2009-2010,2010,6,Los Angeles Clippers,0.5,East,265
26,"Jan 11, 2004",1998,6-7,Paul Pierce,SF,2003-2004,2004,5,Boston Celtics,0.5,East,235
28,"Jan 11, 2004",1996,6-5,Ray Allen,SG,2003-2004,2004,7,Seattle SuperSonics,0.5,West,205
28,"Jan 11, 1998",1991,6-7,Steve Smith,SG,1997-1998,1998,6,Atlanta Hawks,1,NA,200
25,"Jan 11, 1987",1981,6-1,Isiah Thomas,PG,1986-1987,1987,5,Detroit Pistons,1,NA,180
26,"Jan 10, 2011",2003,6-8,LeBron James,F,2010-2011,2011,7,Miami Heat,0.5,East,250
29,"Jan 10, 2011",2001,6-9,Zach Randolph,PF,2010-2011,2011,9,Memphis Grizzlies,0.5,West,260
27,"Jan 10, 2000",1994,6-8,Grant Hill,SF,1999-2000,2000,5,Detroit Pistons,1,NA,225
23,"Jan 10, 1993",1989,6-10,Shawn Kemp,C,1992-1993,1993,3,Seattle SuperSonics,1,NA,280
26,"Jan 10, 1988",1983,6-3,Byron Scott,SG,1987-1988,1988,4,Los Angeles Lakers,1,NA,195
24,"Jan 1, 2006",2003,6-4,Dwyane Wade,SG,2005-2006,2006,2,Miami Heat,0.5,East,220
27,"Jan 1, 2006",1999,6-7,Shawn Marion,F,2005-2006,2006,6,Phoenix Suns,0.5,West,228
32,"Jan 1, 1995",1984,7-0,Hakeem Olajuwon,C,1994-1995,1995,10,Houston Rockets,1,NA,255
29,"Jan 1, 1989",1979,6-9,Magic Johnson,PG,1988-1989,1989,9,Los Angeles Lakers,1,NA,255
20,"Feb 9, 2015",2013,6-11,Giannis Antetokounmpo,F,2014-2015,2015,1,Milwaukee Bucks,0.5,East,222
26,"Feb 9, 2015",2008,6-3,Russell Westbrook,G,2014-2015,2015,6,Oklahoma City Thunder,0.5,West,200
24,"Feb 9, 2009",2003,6-8,LeBron James,F,2008-2009,2009,5,Cleveland Cavaliers,0.5,East,250
28,"Feb 9, 2009",2001,7-0,Pau Gasol,FC,2008-2009,2009,7,Los Angeles Lakers,0.5,West,250
27,"Feb 8, 2016",2011,5-9,Isaiah Thomas,PG,2015-2016,2016,4,Boston Celtics,0.5,East,185
30,"Feb 8, 2016",2006,6-11,LaMarcus Aldridge,FC,2015-2016,2016,9,San Antonio Spurs,0.5,West,260
25,"Feb 8, 2010",2003,6-8,LeBron James,F,2009-2010,2010,6,Cleveland Cavaliers,0.5,East,250
21,"Feb 8, 2010",2008,6-3,Russell Westbrook,G,2009-2010,2010,1,Oklahoma City Thunder,0.5,West,200
26,"Feb 8, 2004",2000,6-9,Kenyon Martin,F,2003-2004,2004,3,New Jersey Nets,0.5,East,240
27,"Feb 8, 2004",1997,6-11,Tim Duncan,FC,2003-2004,2004,6,San Antonio Spurs,0.5,West,250
26,"Feb 7, 2011",2003,6-8,LeBron James,F,2010-2011,2011,7,Miami Heat,0.5,East,250
22,"Feb 7, 2011",2007,6-9,Kevin Durant,SF,2010-2011,2011,3,Oklahoma City Thunder,0.5,West,240
26,"Feb 7, 2000",1995,6-7,Michael Finley,G-F,1999-2000,2000,4,Dallas Mavericks,1,NA,225
32,"Feb 7, 1999",1991,7-2,Dikembe Mutombo,C,1998-1999,1999,7,Atlanta Hawks,1,NA,260
25,"Feb 7, 1993",1989,6-6,Nick Anderson,GF,1992-1993,1993,3,Orlando Magic,1,NA,228
28,"Feb 6, 2017",2011,175cm,Isaiah Thomas,PG,2016-2017,2017,5,Boston Celtics,0.5,East,84kg
28,"Feb 6, 2017",2009,191cm,Stephen Curry,G,2016-2017,2017,7,Golden State Warriors,0.5,West,86kg
34,"Feb 6, 2012",1998,6-7,Paul Pierce,SF,2011-2012,2012,13,Boston Celtics,0.5,East,235
29,"Feb 6, 2012",2001,6-2,Tony Parker,G,2011-2012,2012,10,San Antonio Spurs,0.5,West,185
21,"Feb 6, 2006",2003,6-11,Chris Bosh,PF,2005-2006,2006,2,Toronto Raptors,0.5,East,235
20,"Feb 6, 2006",2005,6-0,Chris Paul,PG,2005-2006,2006,0,New Orleans Hornets,0.5,West,175
20,"Feb 6, 2006",2005,6-0,Chris Paul,PG,2005-2006,2006,0,New Orleans Hornets,0.5,West,175
27,"Feb 6, 2005",1998,6-7,Paul Pierce,SF,2004-2005,2005,6,Boston Celtics,0.5,East,235
25,"Feb 6, 2005",1997,6-8,Tracy McGrady,GF,2004-2005,2005,7,Houston Rockets,0.5,West,210
28,"Feb 6, 1994",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,1,NA,250
24,"Feb 5, 2018",2012,211cm,Andre Drummond,C,2017-2018,2018,5,Detroit Pistons,0.5,East,127kg
28,"Feb 5, 2018",2009,196cm,James Harden,SG,2017-2018,2018,8,Houston Rockets,0.5,West,100kg
32,"Feb 5, 1995",1984,7-0,Hakeem Olajuwon,C,1994-1995,1995,10,Houston Rockets,1,NA,255
25,"Feb 5, 1989",1986,6-6,Ron Harper,SG,1988-1989,1989,2,Cleveland Cavaliers,1,NA,185
28,"Feb 4, 2013",2005,5-9,Nate Robinson,G,2012-2013,2013,7,Chicago Bulls,0.5,East,180
29,"Feb 4, 2013",2005,6-9,David Lee,FC,2012-2013,2013,7,Golden State Warriors,0.5,West,245
25,"Feb 4, 2007",2003,6-4,Dwyane Wade,SG,2006-2007,2007,3,Miami Heat,0.5,East,220
27,"Feb 4, 2007",2001,6-11,Mehmet Okur,FC,2006-2007,2007,4,Utah Jazz,0.5,West,249
32,"Feb 4, 2001",1991,6-0,Darrell Armstrong,PG,2000-2001,2001,6,Orlando Magic,1,NA,170
22,"Feb 4, 1996",1994,6-4,Jason Kidd,PG,1995-1996,1996,1,Dallas Mavericks,1,NA,210
23,"Feb 4, 1990",1989,6-0,Tim Hardaway,PG,1989-1990,1990,0,Golden State Warriors,1,NA,175
27,"Feb 3, 2014",2006,6-1,Kyle Lowry,PG,2013-2014,2014,7,Toronto Raptors,0.5,East,196
27,"Feb 3, 2014",2008,6-3,Goran Dragic,G,2013-2014,2014,5,Phoenix Suns,0.5,West,190
28,"Feb 3, 2008",2000,6-10,Hedo Turkoglu,F,2007-2008,2008,7,Orlando Magic,0.5,East,220
31,"Feb 3, 2008",1998,7-0,Brad Miller,C,2007-2008,2008,9,Sacramento Kings,0.5,West,261
28,"Feb 3, 2002",1994,6-4,Jason Kidd,PG,2001-2002,2002,7,New Jersey Nets,0.5,East,210
29,"Feb 3, 2002",1992,7-1,Shaquille O'Neal,C,2001-2002,2002,9,Los Angeles Lakers,0.5,West,325
28,"Feb 3, 1991",1984,6-9,Otis Thorpe,PF,1990-1991,1991,6,Houston Rockets,1,NA,225
25,"Feb 3, 1985",1982,6-7,Dominique Wilkins,SF,1984-1985,1985,2,Atlanta Hawks,1,NA,200
29,"Feb 29, 2016",2006,6-1,Kyle Lowry,PG,2015-2016,2016,9,Toronto Raptors,0.5,East,196
27,"Feb 29, 2016",2009,6-3,Stephen Curry,G,2015-2016,2016,6,Golden State Warriors,0.5,West,190
29,"Feb 29, 2004",1996,6-9,Ben Wallace,FC,2003-2004,2004,7,Detroit Pistons,0.5,East,240
23,"Feb 29, 2004",1999,6-9,Andrei Kirilenko,PF,2003-2004,2004,2,Utah Jazz,0.5,West,235
25,"Feb 28, 2011",2004,6-11,Dwight Howard,C,2010-2011,2011,6,Orlando Magic,0.5,East,265
28,"Feb 28, 2011",2004,6-7,Kevin Martin,SG,2010-2011,2011,6,Houston Rockets,0.5,West,199
23,"Feb 28, 2000",1998,6-6,Vince Carter,SF,1999-2000,2000,1,Toronto Raptors,1,NA,220
24,"Feb 28, 1999",1995,6-9,Antonio McDyess,F,1998-1999,1999,3,Denver Nuggets,1,NA,245
30,"Feb 28, 1993",1984,7-0,Hakeem Olajuwon,C,1992-1993,1993,8,Houston Rockets,1,NA,255
23,"Feb 28, 1988",1986,6-11,Roy Tarpley,PF,1987-1988,1988,1,Dallas Mavericks,1,NA,230
24,"Feb 27, 2006",2001,6-3,Gilbert Arenas,G,2005-2006,2006,4,Washington Wizards,0.5,East,191
25,"Feb 27, 2006",2002,7-6,Yao Ming,C,2005-2006,2006,3,Houston Rockets,0.5,West,310
32,"Feb 27, 2005",1994,6-8,Jalen Rose,G,2004-2005,2005,10,Toronto Raptors,0.5,East,210
26,"Feb 27, 2005",1998,6-2,Mike Bibby,G,2004-2005,2005,6,Sacramento Kings,0.5,West,195
24,"Feb 27, 1994",1989,6-10,Shawn Kemp,C,1993-1994,1994,4,Seattle SuperSonics,1,NA,280
28,"Feb 26, 1995",1988,6-3,Rod Strickland,PG,1994-1995,1995,6,Portland Trail Blazers,1,NA,175
26,"Feb 26, 1989",1985,7-0,Patrick Ewing,C,1988-1989,1989,3,New York Knicks,1,NA,240
28,"Feb 25, 2013",2003,6-8,LeBron James,F,2012-2013,2013,9,Miami Heat,0.5,East,250
34,"Feb 25, 2013",1996,6-6,Kobe Bryant,SG,2012-2013,2013,16,Los Angeles Lakers,0.5,West,212
30,"Feb 25, 2007",1998,6-6,Vince Carter,SF,2006-2007,2007,8,New Jersey Nets,0.5,East,220
24,"Feb 25, 2007",2002,6-10,Amar'e Stoudemire,FC,2006-2007,2007,4,Phoenix Suns,0.5,West,245
22,"Feb 25, 2001",1999,6-7,Shawn Marion,F,2000-2001,2001,1,Phoenix Suns,1,NA,228
26,"Feb 25, 1996",1989,6-10,Shawn Kemp,C,1995-1996,1996,6,Seattle SuperSonics,1,NA,280
24,"Feb 25, 1990",1987,7-1,David Robinson,C,1989-1990,1990,0,San Antonio Spurs,1,NA,250
23,"Feb 24, 2014",2011,6-1,Kemba Walker,G,2013-2014,2014,2,Charlotte Bobcats,0.5,East,184
25,"Feb 24, 2014",2008,6-10,Kevin Love,FC,2013-2014,2014,5,Minnesota Timberwolves,0.5,West,251
23,"Feb 24, 2008",2003,6-8,LeBron James,F,2007-2008,2008,4,Cleveland Cavaliers,0.5,East,250
30,"Feb 24, 2008",1999,6-6,Manu Ginobili,SG,2007-2008,2008,5,San Antonio Spurs,0.5,West,205
27,"Feb 24, 2002",1996,6-9,Ben Wallace,FC,2001-2002,2002,5,Detroit Pistons,0.5,East,240
29,"Feb 24, 2002",1992,7-1,Shaquille O'Neal,C,2001-2002,2002,9,Los Angeles Lakers,0.5,West,325
25,"Feb 24, 1991",1987,6-7,Reggie Miller,SG,1990-1991,1991,3,Indiana Pacers,1,NA,185
25,"Feb 24, 1985",1981,6-6,Mark Aguirre,SF,1984-1985,1985,3,Dallas Mavericks,1,NA,232
23,"Feb 23, 2009",2004,6-11,Dwight Howard,C,2008-2009,2009,4,Orlando Magic,0.5,East,265
28,"Feb 23, 2009",2001,7-0,Pau Gasol,FC,2008-2009,2009,7,Los Angeles Lakers,0.5,West,250
23,"Feb 23, 2003",1997,6-8,Tracy McGrady,GF,2002-2003,2003,5,Orlando Magic,0.5,East,210
24,"Feb 23, 2003",1996,6-6,Kobe Bryant,SG,2002-2003,2003,6,Los Angeles Lakers,0.5,West,212
31,"Feb 23, 1997",1987,6-8,Scottie Pippen,SF,1996-1997,1997,9,Chicago Bulls,1,NA,228
25,"Feb 23, 1992",1989,6-0,Tim Hardaway,PG,1991-1992,1992,2,Golden State Warriors,1,NA,175
28,"Feb 23, 1986",1979,6-3,Sidney Moncrief,SG,1985-1986,1986,6,Milwaukee Bucks,1,NA,180
24,"Feb 22, 2010",2004,6-11,Dwight Howard,C,2009-2010,2010,5,Orlando Magic,0.5,East,265
28,"Feb 22, 2010",2002,6-9,Carlos Boozer,PF,2009-2010,2010,7,Utah Jazz,0.5,West,266
22,"Feb 22, 2004",2003,6-4,Dwyane Wade,SG,2003-2004,2004,0,Miami Heat,0.5,East,220
25,"Feb 22, 2004",1996,6-6,Kobe Bryant,SG,2003-2004,2004,7,Los Angeles Lakers,0.5,West,212
27,"Feb 22, 2000",1992,7-1,Shaquille O'Neal,C,1999-2000,2000,7,Los Angeles Lakers,1,NA,325
30,"Feb 22, 1998",1989,6-6,Nick Anderson,GF,1997-1998,1998,8,Orlando Magic,1,NA,228
31,"Feb 22, 1987",1976,6-10,Moses Malone,C,1986-1987,1987,10,Washington Bullets,1,NA,215
22,"Feb 21, 1999",1996,6-2,Stephon Marbury,G,1998-1999,1999,2,Minnesota Timberwolves,1,NA,180
25,"Feb 21, 1988",1984,6-1,John Stockton,PG,1987-1988,1988,3,Utah Jazz,1,NA,170
27,"Feb 20, 2012",2003,6-8,LeBron James,F,2011-2012,2012,8,Miami Heat,0.5,East,250
23,"Feb 20, 2012",2007,6-9,Kevin Durant,SF,2011-2012,2012,4,Oklahoma City Thunder,0.5,West,240
28,"Feb 20, 1994",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,1,NA,250
22,"Feb 2, 2015",2011,6-3,Kyrie Irving,G,2014-2015,2015,3,Cleveland Cavaliers,0.5,East,193
33,"Feb 2, 2015",2001,6-9,Zach Randolph,PF,2014-2015,2015,13,Memphis Grizzlies,0.5,West,260
25,"Feb 2, 2009",2005,6-9,David Lee,FC,2008-2009,2009,3,New York Knicks,0.5,East,245
26,"Feb 2, 2009",2001,6-2,Tony Parker,G,2008-2009,2009,7,San Antonio Spurs,0.5,West,185
26,"Feb 2, 2003",1997,6-3,Chauncey Billups,G,2002-2003,2003,5,Detroit Pistons,0.5,East,210
24,"Feb 2, 2003",1996,6-6,Kobe Bryant,SG,2002-2003,2003,6,Los Angeles Lakers,0.5,West,212
29,"Feb 2, 1997",1989,6-8,Glen Rice,SF,1996-1997,1997,7,Charlotte Hornets,1,NA,228
33,"Feb 2, 1992",1981,6-10,Larry Nance,PF,1991-1992,1992,10,Cleveland Cavaliers,1,NA,205
32,"Feb 2, 1986",1976,6-7,Alex English,SF,1985-1986,1986,9,Denver Nuggets,1,NA,190
32,"Feb 19, 1995",1984,6-6,Charles Barkley,PF,1994-1995,1995,10,Phoenix Suns,1,NA,252
26,"Feb 19, 1989",1984,7-0,Hakeem Olajuwon,C,1988-1989,1989,4,Houston Rockets,1,NA,255
25,"Feb 18, 2001",1996,6-0,Allen Iverson,G,2000-2001,2001,4,Philadelphia Sixers,1,NA,165
31,"Feb 18, 1996",1987,6-9,Armen Gilliam,PF,1995-1996,1996,8,New Jersey Nets,1,NA,230
30,"Feb 18, 1990",1981,6-10,Tom Chambers,PF,1989-1990,1990,8,Phoenix Suns,1,NA,220
25,"Feb 17, 2002",1999,6-3,Andre Miller,PG,2001-2002,2002,2,Cleveland Cavaliers,0.5,East,200
38,"Feb 17, 2002",1985,6-9,Karl Malone,PF,2001-2002,2002,16,Utah Jazz,0.5,West,265
22,"Feb 17, 1991",1990,6-7,Lionel Simmons,SF,1990-1991,1991,0,Sacramento Kings,1,NA,210
25,"Feb 17, 1985",1979,6-9,Magic Johnson,PG,1984-1985,1985,5,Los Angeles Lakers,1,NA,255
31,"Feb 16, 2003",1993,6-6,Allan Houston,G,2002-2003,2003,9,New York Knicks,0.5,East,205
26,"Feb 16, 2003",1997,6-11,Tim Duncan,FC,2002-2003,2003,5,San Antonio Spurs,0.5,West,250
27,"Feb 16, 1997",1992,6-10,Alonzo Mourning,C,1996-1997,1997,4,Miami Heat,1,NA,240
29,"Feb 16, 1992",1984,6-1,John Stockton,PG,1991-1992,1992,7,Utah Jazz,1,NA,170
29,"Feb 16, 1986",1978,6-9,Larry Bird,SF,1985-1986,1986,6,Boston Celtics,1,NA,220
34,"Feb 15, 1998",1985,6-9,Karl Malone,PF,1997-1998,1998,12,Utah Jazz,1,NA,265
27,"Feb 15, 1987",1979,6-9,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,1,NA,255
25,"Feb 14, 2011",2004,6-11,Dwight Howard,C,2010-2011,2011,6,Orlando Magic,0.5,East,265
25,"Feb 14, 2011",2006,6-11,LaMarcus Aldridge,FC,2010-2011,2011,4,Portland Trail Blazers,0.5,West,260
30,"Feb 14, 1999",1990,6-4,Gary Payton,G,1998-1999,1999,8,Seattle SuperSonics,1,NA,180
23,"Feb 14, 1993",1991,6-6,Larry Johnson,F,1992-1993,1993,1,Charlotte Hornets,1,NA,250
28,"Feb 14, 1988",1982,6-7,Dominique Wilkins,SF,1987-1988,1988,5,Atlanta Hawks,1,NA,200
32,"Feb 13, 2017",2003,203cm,LeBron James,F,2016-2017,2017,13,Cleveland Cavaliers,0.5,East,113kg
27,"Feb 13, 2017",2009,208cm,Blake Griffin,PF,2016-2017,2017,7,Los Angeles Clippers,0.5,West,114kg
27,"Feb 13, 2017",2009,208cm,Blake Griffin,PF,2016-2017,2017,7,Los Angeles Clippers,0.5,West,114kg
23,"Feb 13, 2012",2010,6-3,Jeremy Lin,G,2011-2012,2012,1,New York Knicks,0.5,East,200
23,"Feb 13, 2012",2008,6-3,Russell Westbrook,G,2011-2012,2012,3,Oklahoma City Thunder,0.5,West,200
24,"Feb 13, 2006",2001,6-3,Gilbert Arenas,G,2005-2006,2006,4,Washington Wizards,0.5,East,191
23,"Feb 13, 2006",2001,6-2,Tony Parker,G,2005-2006,2006,4,San Antonio Spurs,0.5,West,185
29,"Feb 13, 2005",1996,6-0,Allen Iverson,G,2004-2005,2005,8,Philadelphia Sixers,0.5,East,165
31,"Feb 13, 2005",1996,6-3,Steve Nash,G,2004-2005,2005,8,Phoenix Suns,0.5,West,178
23,"Feb 12, 2018",2014,213cm,Joel Embiid,C,2017-2018,2018,3,Philadelphia Sixers,0.5,East,113kg
28,"Feb 12, 2018",2009,196cm,James Harden,SG,2017-2018,2018,8,Houston Rockets,0.5,West,100kg
28,"Feb 11, 2013",2003,6-8,LeBron James,F,2012-2013,2013,9,Miami Heat,0.5,East,250
24,"Feb 11, 2013",2008,6-3,Russell Westbrook,G,2012-2013,2013,4,Oklahoma City Thunder,0.5,West,200
25,"Feb 11, 2007",2003,6-4,Dwyane Wade,SG,2006-2007,2007,3,Miami Heat,0.5,East,220
22,"Feb 11, 2007",2003,6-8,Carmelo Anthony,F,2006-2007,2007,3,Denver Nuggets,0.5,West,240
21,"Feb 10, 2014",2012,6-9,Jared Sullinger,C,2013-2014,2014,1,Boston Celtics,0.5,East,260
25,"Feb 10, 2014",2007,6-9,Kevin Durant,SF,2013-2014,2014,6,Oklahoma City Thunder,0.5,West,240
31,"Feb 10, 2008",1999,6-3,Andre Miller,PG,2007-2008,2008,8,Philadelphia Sixers,0.5,East,200
25,"Feb 10, 2008",2002,6-10,Amar'e Stoudemire,FC,2007-2008,2008,5,Phoenix Suns,0.5,West,245
34,"Feb 1, 2016",2003,6-4,Dwyane Wade,SG,2015-2016,2016,12,Miami Heat,0.5,East,220
27,"Feb 1, 2016",2007,6-9,Kevin Durant,SF,2015-2016,2016,8,Oklahoma City Thunder,0.5,West,240
25,"Feb 1, 2010",2003,6-11,Chris Bosh,PF,2009-2010,2010,6,Toronto Raptors,0.5,East,235
21,"Feb 1, 2010",2007,6-9,Kevin Durant,SF,2009-2010,2010,2,Oklahoma City Thunder,0.5,West,240
30,"Feb 1, 2004",1994,6-4,Jason Kidd,PG,2003-2004,2004,9,New Jersey Nets,0.5,East,210
27,"Feb 1, 2004",1995,6-11,Kevin Garnett,PF,2003-2004,2004,8,Minnesota Timberwolves,0.5,West,240
32,"Feb 1, 1998",1987,7-1,David Robinson,C,1997-1998,1998,8,San Antonio Spurs,1,NA,250
26,"Feb 1, 1987",1982,6-3,Fat Lever,PG,1986-1987,1987,4,Denver Nuggets,1,NA,170
25,"Dec 9, 2013",2010,6-5,Jordan Crawford,G,2013-2014,2014,3,Boston Celtics,0.5,East,195
28,"Dec 9, 2013",2006,6-11,LaMarcus Aldridge,FC,2013-2014,2014,7,Portland Trail Blazers,0.5,West,260
22,"Dec 9, 2007",2004,6-9,Josh Smith,PF,2007-2008,2008,3,Atlanta Hawks,0.5,East,225
23,"Dec 9, 2007",2006,6-6,Brandon Roy,G,2007-2008,2008,1,Portland Trail Blazers,0.5,West,211
25,"Dec 9, 2001",1999,6-3,Andre Miller,PG,2001-2002,2002,2,Cleveland Cavaliers,0.5,East,200
22,"Dec 9, 2001",1999,6-9,Elton Brand,PF,2001-2002,2002,2,Los Angeles Clippers,0.5,West,254
22,"Dec 9, 2001",1999,6-9,Elton Brand,PF,2001-2002,2002,2,Los Angeles Clippers,0.5,West,254
28,"Dec 9, 1990",1984,6-1,John Stockton,PG,1990-1991,1991,6,Utah Jazz,1,NA,170
25,"Dec 9, 1984",1981,6-9,Orlando Woolridge,PF,1984-1985,1985,3,Chicago Bulls,1,NA,215
28,"Dec 8, 2014",2006,6-1,Kyle Lowry,PG,2014-2015,2015,8,Toronto Raptors,0.5,East,196
29,"Dec 8, 2014",2006,6-11,LaMarcus Aldridge,FC,2014-2015,2015,8,Portland Trail Blazers,0.5,West,260
27,"Dec 8, 2008",2003,6-4,Dwyane Wade,SG,2008-2009,2009,5,Miami Heat,0.5,East,220
30,"Dec 8, 2008",1998,7-0,Dirk Nowitzki,PF,2008-2009,2009,10,Dallas Mavericks,0.5,West,245
25,"Dec 8, 2002",1998,6-7,Paul Pierce,SF,2002-2003,2003,4,Boston Celtics,0.5,East,235
24,"Dec 8, 2002",1996,6-6,Kobe Bryant,SG,2002-2003,2003,6,Los Angeles Lakers,0.5,West,212
29,"Dec 8, 1996",1990,6-10,Terry Mills,PF,1996-1997,1997,6,Detroit Pistons,1,NA,230
30,"Dec 8, 1991",1983,6-4,Jeff Malone,SG,1991-1992,1992,8,Utah Jazz,1,NA,205
27,"Dec 8, 1985",1980,6-10,Jeff Ruland,C,1985-1986,1986,4,Washington Bullets,1,NA,240
25,"Dec 7, 2015",2011,6-3,Reggie Jackson,G,2015-2016,2016,4,Detroit Pistons,0.5,East,208
27,"Dec 7, 2015",2009,6-3,Stephen Curry,G,2015-2016,2016,6,Golden State Warriors,0.5,West,190
33,"Dec 7, 2009",1995,6-11,Kevin Garnett,PF,2009-2010,2010,14,Boston Celtics,0.5,East,240
28,"Dec 7, 2009",2002,6-9,Carlos Boozer,PF,2009-2010,2010,7,Utah Jazz,0.5,West,266
27,"Dec 7, 2003",1998,6-6,Vince Carter,SF,2003-2004,2004,5,Toronto Raptors,0.5,East,220
31,"Dec 7, 2003",1992,7-1,Shaquille O'Neal,C,2003-2004,2004,11,Los Angeles Lakers,0.5,West,325
26,"Dec 7, 1997",1994,6-6,Wesley Person,SG,1997-1998,1998,3,Cleveland Cavaliers,1,NA,195
27,"Dec 7, 1986",1981,6-10,Tom Chambers,PF,1986-1987,1987,5,Seattle SuperSonics,1,NA,220
28,"Dec 6, 2010",2002,6-10,Amar'e Stoudemire,FC,2010-2011,2011,8,New York Knicks,0.5,East,245
22,"Dec 6, 2010",2008,6-3,Russell Westbrook,G,2010-2011,2011,2,Oklahoma City Thunder,0.5,West,200
28,"Dec 6, 1992",1986,6-5,Drazen Petrovic,SG,1992-1993,1993,3,New Jersey Nets,1,NA,200
25,"Dec 6, 1987",1983,6-7,Clyde Drexler,SG,1987-1988,1988,4,Portland Trail Blazers,1,NA,210
22,"Dec 5, 2016",2013,211cm,Giannis Antetokounmpo,F,2016-2017,2017,3,Milwaukee Bucks,0.5,East,101kg
28,"Dec 5, 2016",2008,191cm,Russell Westbrook,G,2016-2017,2017,8,Oklahoma City Thunder,0.5,West,91kg
24,"Dec 5, 2005",2003,6-4,Dwyane Wade,SG,2005-2006,2006,2,Miami Heat,0.5,East,220
26,"Dec 5, 2005",1999,6-3,Baron Davis,G,2005-2006,2006,6,Golden State Warriors,0.5,West,215
23,"Dec 5, 2004",2001,6-3,Gilbert Arenas,G,2004-2005,2005,3,Washington Wizards,0.5,East,191
26,"Dec 5, 2004",1998,7-0,Dirk Nowitzki,PF,2004-2005,2005,6,Dallas Mavericks,0.5,West,245
27,"Dec 5, 1999",1992,7-1,Shaquille O'Neal,C,1999-2000,2000,7,Los Angeles Lakers,1,NA,325
28,"Dec 5, 1993",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,1,NA,250
33,"Dec 4, 2017",2003,203cm,LeBron James,F,2017-2018,2018,14,Cleveland Cavaliers,0.5,East,113kg
28,"Dec 4, 2017",2009,196cm,James Harden,SG,2017-2018,2018,8,Houston Rockets,0.5,West,100kg
22,"Dec 4, 1994",1992,7-1,Shaquille O'Neal,C,1994-1995,1995,2,Orlando Magic,1,NA,325
29,"Dec 4, 1988",1979,6-9,Magic Johnson,PG,1988-1989,1989,9,Los Angeles Lakers,1,NA,255
27,"Dec 31, 2012",2005,6-3,Monta Ellis,G,2012-2013,2013,7,Milwaukee Bucks,0.5,East,185
26,"Dec 31, 2012",2010,6-6,Greivis Vasquez,G,2012-2013,2013,2,New Orleans Hornets,0.5,West,217
26,"Dec 31, 2012",2010,6-6,Greivis Vasquez,G,2012-2013,2013,2,New Orleans Hornets,0.5,West,217
27,"Dec 31, 2006",2000,6-6,Michael Redd,G,2006-2007,2007,6,Milwaukee Bucks,0.5,East,220
26,"Dec 31, 2006",2003,6-7,Josh Howard,GF,2006-2007,2007,3,Dallas Mavericks,0.5,West,210
28,"Dec 31, 2000",1994,6-5,Aaron McKie,G,2000-2001,2001,6,Philadelphia Sixers,1,NA,209
