Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Real_value,Conference,Weight
27,"Nov 7, 2005",1996,6-6,Kobe Bryant,SG,2005-2006,2006,9,Los Angeles Lakers,0.5,West,212
23,"Nov 7, 2004",2003,6-4,Dwyane Wade,SG,2004-2005,2005,1,Miami Heat,0.5,East,220
28,"Nov 7, 2004",1995,6-11,Kevin Garnett,PF,2004-2005,2005,9,Minnesota Timberwolves,0.5,West,240
30,"Nov 7, 1999",1993,6-3,Sam Cassell,G,1999-2000,2000,6,Milwaukee Bucks,1,NA,185
22,"Nov 6, 2017",2015,221cm,Kristaps Porzingis,FC,2017-2018,2018,2,New York Knicks,0.5,East,109kg
28,"Nov 6, 2017",2009,196cm,James Harden,SG,2017-2018,2018,8,Houston Rockets,0.5,West,100kg
31,"Nov 6, 2006",1996,6-0,Allen Iverson,G,2006-2007,2007,10,Philadelphia Sixers,0.5,East,165
25,"Nov 6, 2006",2002,6-9,Carlos Boozer,PF,2006-2007,2007,4,Utah Jazz,0.5,West,266
37,"Nov 6, 2000",1985,6-9,Karl Malone,PF,2000-2001,2001,15,Utah Jazz,1,NA,265
38,"Nov 6, 2000",1984,6-1,John Stockton,PG,2000-2001,2001,16,Utah Jazz,1,NA,170
23,"Nov 5, 2012",2009,6-1,Brandon Jennings,G,2012-2013,2013,3,Milwaukee Bucks,0.5,East,170
23,"Nov 5, 2012",2009,6-5,James Harden,SG,2012-2013,2013,3,Houston Rockets,0.5,West,220
22,"Nov 4, 2013",2013,6-6,Michael Carter-Williams,PG,2013-2014,2014,0,Philadelphia Sixers,0.5,East,190
25,"Nov 4, 2013",2008,6-10,Kevin Love,FC,2013-2014,2014,5,Minnesota Timberwolves,0.5,West,251
24,"Nov 4, 2007",2005,6-9,Danny Granger,GF,2007-2008,2008,2,Indiana Pacers,0.5,East,222
28,"Nov 4, 2007",1997,6-8,Tracy McGrady,GF,2007-2008,2008,10,Houston Rockets,0.5,West,210
26,"Nov 4, 2001",1996,6-5,Ray Allen,SG,2001-2002,2002,5,Milwaukee Bucks,0.5,East,205
23,"Nov 4, 2001",1996,6-6,Kobe Bryant,SG,2001-2002,2002,5,Los Angeles Lakers,0.5,West,212
26,"Nov 4, 1984",1981,6-10,Larry Nance,PF,1984-1985,1985,3,Phoenix Suns,1,NA,205
25,"Nov 30, 2015",2010,6-9,Paul George,GF,2015-2016,2016,5,Indiana Pacers,0.5,East,220
27,"Nov 30, 2015",2007,6-9,Kevin Durant,SF,2015-2016,2016,8,Oklahoma City Thunder,0.5,West,240
27,"Nov 30, 2009",2001,6-7,Gerald Wallace,F,2009-2010,2010,8,Charlotte Bobcats,0.5,East,220
33,"Nov 30, 2009",1997,6-11,Tim Duncan,FC,2009-2010,2010,12,San Antonio Spurs,0.5,West,250
37,"Nov 30, 2003",1991,7-2,Dikembe Mutombo,C,2003-2004,2004,12,New York Knicks,0.5,East,260
30,"Nov 30, 2003",1994,6-4,Voshon Lenard,SG,2003-2004,2004,8,Denver Nuggets,0.5,West,205
34,"Nov 30, 1997",1985,6-9,Karl Malone,PF,1997-1998,1998,12,Utah Jazz,1,NA,265
24,"Nov 30, 1986",1985,6-11,Hot Rod Williams,FC,1986-1987,1987,0,Cleveland Cavaliers,1,NA,215
30,"Nov 3, 2014",2003,6-11,Chris Bosh,PF,2014-2015,2015,11,Miami Heat,0.5,East,235
25,"Nov 3, 2014",2011,6-7,Klay Thompson,G,2014-2015,2015,3,Golden State Warriors,0.5,West,215
